TIME,STATIC,TEK,STAU,TSTATIC,TEK,TSTAU
1676848250.000299,981.1037687828334,980.6100698322218,-0.03585870145723659,35.29383527040481,35.54226081371307,37.20703125
1676848250.150672,981.1020473242033,980.628308336185,-0.038910505836575876,35.32122660398483,35.573114793300626,37.20703125
1676848250.300793,981.1400978068943,980.6325942686142,-0.047302967879758906,35.336080610752106,35.587748000621794,37.20703125
1676848250.452336,981.1142260677967,980.6293638823007,-0.047302967879758906,35.342689962387084,35.59906802892685,37.20703125
1676848250.601341,981.1144915334368,980.6468806039129,-0.038910505836575876,35.34868607521057,35.60576341152191,37.20703125
1676848250.751938,981.1112682894033,980.6118286455161,-0.03585870145723659,35.35379639863968,35.61004293441773,37.20703125
1676848250.901788,981.1161548969344,980.642981356291,-0.03738460364690623,35.355499839782716,35.614322457313534,37.20703125
1676848251.051874,981.0683322063019,980.6261934620419,-0.038910505836575876,35.357612106800076,35.614115383625034,37.20703125
1676848251.2017,981.10058608127,980.6285416661138,-0.04119935912108034,35.35965623617172,35.615150752067564,37.20703125
1676848251.351766,981.0897051732516,980.6430290867927,-0.047302967879758906,35.36101898908615,35.61722148895264,37.20703125
1676848251.50171,981.1044813146168,980.6295794840212,-0.04119935912108034,35.36428959608078,35.621570036411285,37.20703125
1676848251.650797,981.1007324879329,980.6150988538054,-0.06027313649195087,35.364970972537996,35.619913446903226,37.20703125
1676848251.802342,981.1226785250107,980.6333229987565,-0.05874723430228122,35.36442587137222,35.622398331165314,37.20703125
1676848251.951997,981.1291317079572,980.6389281058367,-0.04425116350041962,35.36428959608078,35.623019552230836,37.20703125
1676848252.101326,981.1183427124348,980.630658336739,-0.05188067444876783,35.36674255132675,35.6210178399086,37.20703125
1676848252.250531,981.1184204662644,980.6250973160743,-0.04272526131074998,35.365516073703766,35.62308857679367,37.20703125
1676848252.399527,981.1016732428252,980.6229497096333,-0.053406576638437474,35.36537979841232,35.62481419086456,37.20703125
1676848252.548554,981.1007466468797,980.6235826447219,-0.03738460364690623,35.36728765249252,35.62550443649292,37.20703125
1676848252.69769,981.0996101974868,980.6201522322278,-0.04425116350041962,35.36742392778397,35.62481419086456,37.20703125
1676848252.846787,981.0875006397986,980.6248653972947,-0.04272526131074998,35.36783275365829,35.62792029619217,37.20703125
1676848252.995823,981.1190476457294,980.6044665210069,-0.03738460364690623,35.36578862428665,35.62550443649292,37.20703125
1676848253.146141,981.1036467116672,980.6068314744596,-0.039673456931410694,35.36728765249252,35.62757517337799,37.20703125
1676848253.296221,981.095311982332,980.5956314024894,-0.04119935912108034,35.366606276035306,35.62695395231247,37.20703125
1676848253.446492,981.0793227164788,980.5987621657271,-0.04425116350041962,35.3672195148468,35.62833444356918,37.20703125
1676848253.596955,981.1022096474312,980.6243991479752,-0.047302967879758906,35.367083239555356,35.62792029619217,37.20703125
1676848253.746835,981.1025491667469,980.5860000851893,-0.05416952773327229,35.36681068897247,35.62723005056381,37.20703125
1676848253.895837,981.0983558654838,980.5951685198443,-0.053406576638437474,35.3668788266182,35.62716102600098,37.20703125
1676848254.046771,981.1024194732506,980.5934634277448,-0.05188067444876783,35.36885481834412,35.62743712425232,37.20703125
1676848254.197446,981.1010743352543,980.5819267688846,-0.04272526131074998,35.36974060773849,35.62522833824158,37.20703125
1676848254.346422,981.1104147139835,980.6047005275797,-0.047302967879758906,35.36980874538422,35.63033615589142,37.20703125
1676848254.497066,981.1027719689985,980.5659614495212,-0.05722133211261158,35.36837785482407,35.62785127162933,37.20703125
1676848254.647092,981.1206439880177,980.5676699127516,-0.04425116350041962,35.371103360652924,35.6277822470665,37.20703125
1676848254.795891,981.0884294387922,980.5779307512249,-0.04119935912108034,35.37096708536148,35.627989320755006,37.20703125
1676848254.945029,981.0834770932145,980.5400013409782,-0.038910505836575876,35.36776461601257,35.62750614881516,37.20703125
1676848255.096506,981.0633603056567,980.5752964987752,-0.038910505836575876,35.36994502067566,35.628472492694854,37.20703125
1676848255.251303,981.0777029169241,980.5611223212373,-0.026703288319218737,35.36735579013825,35.626539804935454,37.20703125
1676848255.399097,981.1232823522517,980.5532094957467,-0.034332799267566945,35.37014943361282,35.627368099689484,37.20703125
1676848255.546951,981.1044318162726,980.5330276243336,-0.038910505836575876,35.37014943361282,35.628748590946195,37.20703125
1676848255.695415,981.0954309654844,980.5091089596041,-0.05874723430228122,35.36980874538422,35.6297149348259,37.20703125
1676848255.843746,981.0859338001633,980.5695684185275,-0.04577706569008926,35.36967247009277,35.629852983951565,37.20703125
1676848255.992064,981.0760711259186,980.5712567840097,-0.02822919050888838,35.37021757125854,35.62854151725769,37.20703125
1676848256.14041,981.103400248725,980.5566498497425,-0.03280689707789731,35.371171498298644,35.62867956638336,37.20703125
1676848256.288731,981.1066528418675,980.5566598843553,-0.04425116350041962,35.37069453477859,35.629300787448884,37.20703125
1676848256.437152,981.1024335524687,980.556500008179,-0.05188067444876783,35.371171498298644,35.62902468919754,37.20703125
1676848256.585488,981.1152481812413,980.5401779058556,-0.031280994888227664,35.36980874538422,35.628817615509035,37.20703125
1676848256.734,981.0753530691462,980.5043032033058,-0.03280689707789731,35.37137591123581,35.63047420501709,37.20703125
1676848256.882216,981.1041052604161,980.5289812339507,-0.031280994888227664,35.37021757125854,35.62840346813202,37.20703125
1676848257.03213,981.118711730547,980.5202956584669,-0.018310826276035707,35.373624453544615,35.62950786113739,37.20703125
1676848257.18053,981.0906234544562,980.5109373831208,-0.03585870145723659,35.36939991950989,35.62743712425232,37.20703125
