TIME,STATIC,TEK,STAU,TSTATIC,TEK,TSTAU
1676854594.20059,981.0936067350235,980.6546001121861,-0.03280689707789731,33.04583806276322,33.259894618988035,34.765625
1676854594.350327,981.1165056144056,980.6498556879352,-0.025940337224383915,33.07425146102905,33.28488151073456,34.765625
1676854594.499151,981.124142547377,980.6762464747304,-0.02822919050888838,33.08753830194473,33.303380093574525,34.765625
1676854594.648009,981.1046182747103,980.6760911895643,-0.025940337224383915,33.098440325260164,33.3153213429451,34.765625
1676854594.798282,981.1261708657883,980.6508299623579,-0.025940337224383915,33.10464085102081,33.321947700977326,34.66796875
1676854594.947942,981.1228359555715,980.6790542045596,-0.025940337224383915,33.107775182724,33.32394941329956,34.66796875
1676854595.096897,981.0977978620472,980.6835632520931,-0.019836728465705347,33.108388421535494,33.328574059009554,34.765625
1676854595.246955,981.1078071975909,980.6427126079986,-0.019836728465705347,33.1106369638443,33.33202528715134,34.765625
1676854595.395836,981.108170965093,980.652589330312,-0.02288853284504463,33.1134987449646,33.33147309064865,34.765625
1676854595.546848,981.1198144853005,980.6870268719498,-0.015259021896696421,33.11499777317047,33.334165048599246,34.765625
1676854595.697047,981.1071586360911,980.6803204331148,-0.016784924086366063,33.11472522258759,33.33671895742416,34.765625
1676854595.845813,981.0984180688532,980.6489116209932,-0.02288853284504463,33.112817368507386,33.33637383460999,34.765625
1676854595.996093,981.113561144087,980.6451142049877,-0.026703288319218737,33.11499777317047,33.33816847324371,34.765625
1676854596.155921,981.1086436115481,980.6628627059181,-0.02822919050888838,33.11370315790177,33.337202129364016,34.66796875
1676854596.304909,981.1017433333586,980.6554470930903,-0.019836728465705347,33.113839433193206,33.33740920305252,34.765625
1676854596.453673,981.109786654576,980.6887358207495,-0.02136263065537499,33.11711004018784,33.33837554693222,34.765625
1676854596.602523,981.1094464026977,980.6652782287673,-0.025940337224383915,33.11758700370788,33.3396870136261,34.765625
1676854596.751481,981.0876593472116,980.6782456410976,-0.02136263065537499,33.11711004018784,33.339065792560575,34.765625
1676854596.900459,981.1126141292535,980.6334847937943,-0.019836728465705347,33.11854093074798,33.34141262769699,34.765625
1676854597.049337,981.1257343411935,980.6327839758483,-0.02136263065537499,33.1192223072052,33.33927286624908,34.765625
1676854597.198276,981.1126309015995,980.6495428364907,-0.016784924086366063,33.11813210487366,33.340722382068634,34.66796875
1676854597.347175,981.1115616039315,980.6243704878391,-0.026703288319218737,33.11683748960495,33.34168872594833,34.765625
1676854597.496101,981.0947908381678,980.6527906780477,-0.02136263065537499,33.11915416955948,33.340722382068634,34.66796875
1676854597.645011,981.1187015851918,980.6797093380068,-0.02288853284504463,33.11867720603943,33.34092945575714,34.765625
1676854597.794105,981.1120911600801,980.6476869270293,-0.031280994888227664,33.11956299543381,33.340722382068634,34.66796875
1676854597.943458,981.1042287263169,980.6375827955932,-0.031280994888227664,33.11969927072525,33.34341434001922,34.765625
1676854598.093055,981.1320866219073,980.6518945625669,-0.03738460364690623,33.12072133541107,33.34155067682266,34.66796875
1676854598.241282,981.1051488222112,980.644604354112,-0.02136263065537499,33.12072133541107,33.340998480319975,34.66796875
1676854598.389308,981.0977925892017,980.6419777993642,-0.02822919050888838,33.12024437189102,33.341067504882815,34.66796875
1676854598.537276,981.1278310159722,980.6402871538116,-0.024414435034714275,33.122833602428436,33.341343603134156,34.66796875
1676854598.687457,981.0912408870057,980.654316036517,-0.025940337224383915,33.11969927072525,33.340170185565945,34.66796875
1676854598.837064,981.0974523080123,980.6566438842527,-0.02288853284504463,33.12072133541107,33.34037725925445,34.66796875
1676854598.985888,981.1070813440165,980.6585794144645,-0.024414435034714275,33.12051692247391,33.342447996139526,34.66796875
1676854599.134644,981.1104485675058,980.6538679841245,-0.02975509269855802,33.12051692247391,33.34058433294296,34.66796875
1676854599.284054,981.1404552320225,980.6319275993668,-0.031280994888227664,33.119971821308134,33.34113652944565,34.66796875
1676854599.433302,981.1431336048504,980.6557716613735,-0.02822919050888838,33.1211301612854,33.341826775074004,34.66796875
1676854599.582455,981.1382746403975,980.6224367035311,-0.02975509269855802,33.118404655456544,33.34369043827057,34.66796875
1676854599.732122,981.1122319286287,980.6407193106454,-0.03280689707789731,33.12003995895386,33.34051530838013,34.66796875
1676854599.881905,981.091896257908,980.6690219173819,-0.024414435034714275,33.119358582496645,33.34051530838013,34.66796875
1676854600.030638,981.1226067531769,980.6475534896858,-0.025940337224383915,33.12119829893112,33.34127457857132,34.66796875
1676854600.179604,981.0972863653776,980.6886981818581,-0.02822919050888838,33.120857610702515,33.34141262769699,34.66796875
1676854600.328663,981.1207581020077,980.6671022529035,-0.03280689707789731,33.119358582496645,33.33885871887207,34.66796875
1676854600.477321,981.1170422429911,980.6465618630382,-0.026703288319218737,33.12003995895386,33.339617989063264,34.66796875
1676854600.625643,981.102959964813,980.650297557764,-0.03280689707789731,33.119358582496645,33.340239210128786,34.66796875
1676854600.7749,981.1129124504773,980.654977136307,-0.031280994888227664,33.11908603191376,33.34127457857132,34.66796875
1676854600.923299,981.1301624933578,980.6458628461216,-0.025940337224383915,33.12072133541107,33.34155067682266,34.66796875
1676854601.072239,981.110133473936,980.6702724712459,-0.031280994888227664,33.120380647182465,33.34086043119431,34.765625
1676854601.221308,981.1365650807318,980.6368104050204,-0.031280994888227664,33.120993885993954,33.339410915374756,34.66796875
1676854601.37005,981.1394680341219,980.672411132372,-0.03280689707789731,33.12058506011963,33.340170185565945,34.66796875
1676854601.518747,981.1165444348612,980.6730244539524,-0.03280689707789731,33.120448784828184,33.34003213644028,34.66796875
